top_left_LDR,top_right_LDR,bottom_left_LDR,bottom_right_LDR,hour,voltage,current,optimal_horizontal_angle,optimal_vertical_angle
395,372,355,348,14,3.23,0.38,90,91
420,377,449,395,12,3.61,0.53,92,88
793,746,804,765,17,6.84,0.72,92,89
735,734,664,665,10,6.15,0.77,90,93
727,689,690,693,13,6.16,0.75,90,90
483,483,518,508,9,4.38,0.74,90,88
409,379,411,394,11,3.5,0.46,91,89
631,626,603,611,15,5.43,0.71,89,91
857,866,827,829,13,7.43,0.75,89,91
291,300,299,300,12,2.62,0.36,89,89
602,561,596,559,16,5.1,0.64,91,90
432,419,394,468,8,3.77,0.4,88,89
640,608,642,649,10,5.58,0.62,90,88
428,411,430,411,15,3.7,0.6,90,89
775,776,744,807,13,6.82,1.12,88,90
388,446,420,432,11,3.71,0.6,88,89
329,401,418,361,16,3.32,0.42,89,88
500,476,437,483,8,4.17,0.55,89,91
799,752,810,758,8,6.86,0.69,92,89
790,768,793,778,18,6.88,0.87,90,89
320,341,342,335,14,2.94,0.44,89,89
515,441,473,482,8,4.2,0.73,91,90
843,827,874,883,18,7.54,1.09,90,87
501,492,484,457,9,4.25,0.59,90,91
630,634,556,635,17,5.4,0.63,87,91
821,814,793,790,11,7.08,0.82,90,91
740,781,726,787,18,6.67,1.15,87,90
477,458,511,450,6,4.17,0.73,92,89
760,703,741,778,10,6.56,0.7,90,88
730,723,756,731,13,6.47,1.03,90,89
749,672,697,688,16,6.17,0.9,92,90
644,674,720,644,8,5.9,0.85,91,88
647,664,576,580,12,5.43,0.89,89,93
610,611,600,645,8,5.42,0.76,88,89
684,711,628,708,11,6.01,0.73,87,91
316,358,377,374,15,3.13,0.37,89,88
513,564,506,516,6,4.62,0.49,88,91
602,648,614,696,18,5.63,0.61,86,88
502,490,528,522,17,4.49,0.75,90,88
310,318,289,280,6,2.63,0.42,90,91
683,703,668,718,9,6.1,0.79,88,90
502,483,509,468,10,4.32,0.69,91,90
825,814,853,889,17,7.44,0.91,89,87
502,494,575,547,7,4.66,0.68,90,86
293,357,375,336,15,2.99,0.5,89,88
269,304,346,356,7,2.8,0.35,88,86
612,614,592,675,13,5.48,0.86,87,88
831,809,844,855,8,7.34,1.16,90,88
742,665,708,672,15,6.13,1.08,92,90
678,702,676,710,10,6.08,0.7,88,89
813,889,838,882,6,7.53,1.02,87,89
398,423,352,401,11,3.46,0.55,88,91
884,916,873,851,13,7.75,0.97,89,91
449,489,449,529,18,4.21,0.43,87,89
559,531,594,584,15,4.99,0.78,90,87
792,772,710,720,18,6.59,1.18,90,93
572,500,582,489,18,4.71,0.57,94,90
479,479,412,429,7,3.96,0.5,89,92
744,729,761,743,16,6.55,1.06,90,89
362,350,308,352,12,3.02,0.45,89,91
842,780,848,858,16,7.32,0.78,91,87
627,609,607,599,13,5.37,0.71,90,90
666,638,670,680,15,5.84,0.93,90,88
696,705,634,651,10,5.91,0.72,89,92
416,365,432,432,10,3.62,0.4,91,87
289,343,319,327,18,2.81,0.3,88,89
680,619,699,613,12,5.74,0.62,93,89
927,920,905,921,13,8.08,1.04,89,90
423,452,438,440,14,3.86,0.62,89,89
573,659,611,625,10,5.43,0.86,87,89
770,830,770,801,15,6.97,1.0,87,90
537,536,606,595,11,5.0,0.84,90,86
297,362,338,370,16,3.01,0.45,87,88
711,704,680,675,15,6.09,0.7,90,91
438,458,451,402,10,3.85,0.63,90,91
377,316,300,350,13,2.95,0.46,90,91
420,347,379,344,14,3.28,0.54,92,91
